epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9364,5.8924,4.24155,4.20732,0,0,0,0,6.25005,4.10517,4.16458,0.00026672,0.00026672,0.00026672
2,48.0222,4.66474,2.96443,3.69747,0,0,0,0,6.30584,4.16219,4.27944,0.000544664,0.000544664,0.000544664
3,68.5798,3.68975,2.31275,3.05593,0,0,0,0,6.44681,4.14824,4.62063,0.000816997,0.000816997,0.000816997
4,92.8571,3.1083,1.95106,2.54026,0,0,0,0,6.50047,4.18531,4.79417,0.00108372,0.00108372,0.00108372
5,111.83,2.69072,1.70547,2.18122,0,0,0,0,6.62877,4.18,5.43999,0.00134483,0.00134483,0.00134483
6,135.959,2.42248,1.54465,1.97137,0,0,0,0,6.32023,3.94235,4.3067,0.00158448,0.00158448,0.00158448
7,160.504,2.23567,1.37626,1.79055,0.00664,0.00734,0.00607,0.00352,5.80266,3.88313,3.84302,0.00156798,0.00156798,0.00156798
8,185.303,2.09496,1.26782,1.68589,0.79458,0.07105,0.10975,0.04026,3.49465,2.55024,2.58186,0.00155148,0.00155148,0.00155148
9,209.899,1.99538,1.21255,1.64195,0.83178,0.14999,0.19149,0.06598,2.92095,1.91673,2.21891,0.00153497,0.00153497,0.00153497
10,234.428,1.84458,1.12133,1.53793,0.82445,0.23916,0.2539,0.09075,2.60827,1.38284,1.96031,0.00151847,0.00151847,0.00151847
11,259.006,1.77856,1.06605,1.46693,0.43014,0.32542,0.37316,0.20075,1.74958,1.10819,1.56069,0.00150197,0.00150197,0.00150197
12,283.666,1.71965,1.01776,1.47116,0.58344,0.36007,0.39558,0.19493,1.87789,1.09861,1.56633,0.00148546,0.00148546,0.00148546
13,302.257,1.69898,1.01007,1.41976,0.38798,0.34123,0.38922,0.19871,1.82648,1.0517,1.4911,0.00146896,0.00146896,0.00146896
14,320.672,1.60519,0.94454,1.35623,0.60889,0.3849,0.42103,0.2508,1.507,0.97384,1.38706,0.00145246,0.00145246,0.00145246
15,344.859,1.53636,0.90318,1.33246,0.63243,0.42763,0.44527,0.28103,1.38714,0.85616,1.28771,0.00143595,0.00143595,0.00143595
16,369.58,1.44516,0.8586,1.26636,0.74734,0.43092,0.46369,0.28631,1.40123,0.83495,1.27917,0.00141945,0.00141945,0.00141945
17,388.73,1.52685,0.85864,1.2929,0.74882,0.44387,0.47156,0.30493,1.27363,0.79142,1.2303,0.00140295,0.00140295,0.00140295
18,412.702,1.40993,0.80741,1.25609,0.71481,0.43337,0.47757,0.28587,1.42786,0.8284,1.2726,0.00138644,0.00138644,0.00138644
19,431.349,1.39065,0.81494,1.21652,0.71677,0.44772,0.47879,0.30622,1.27429,0.76072,1.21248,0.00136994,0.00136994,0.00136994
20,450.492,1.36049,0.79942,1.2406,0.67862,0.45772,0.47521,0.30959,1.22497,0.75343,1.18916,0.00135344,0.00135344,0.00135344
21,476.174,1.30124,0.77301,1.18766,0.64123,0.46596,0.49109,0.29496,1.36163,0.76975,1.21556,0.00133693,0.00133693,0.00133693
22,494.76,1.34163,0.78617,1.22095,0.70123,0.45723,0.48534,0.31048,1.26732,0.71498,1.18736,0.00132043,0.00132043,0.00132043
23,519.233,1.28163,0.72367,1.18828,0.63564,0.48434,0.50089,0.33321,1.17491,0.65867,1.15674,0.00130393,0.00130393,0.00130393
24,543.891,1.28258,0.72165,1.18889,0.73524,0.49366,0.52082,0.34377,1.13846,0.66667,1.13117,0.00128742,0.00128742,0.00128742
25,568.491,1.2313,0.72057,1.1647,0.68132,0.50117,0.51345,0.31694,1.30409,0.7108,1.19306,0.00127092,0.00127092,0.00127092
26,586.918,1.28743,0.72099,1.16557,0.67029,0.49919,0.51595,0.34038,1.16745,0.67296,1.123,0.00125442,0.00125442,0.00125442
27,605.484,1.22381,0.68708,1.11345,0.68134,0.49659,0.51476,0.34214,1.11839,0.65827,1.13634,0.00123791,0.00123791,0.00123791
28,623.739,1.16141,0.67248,1.11482,0.69202,0.50442,0.53176,0.36176,1.05443,0.61865,1.0794,0.00122141,0.00122141,0.00122141
29,648.002,1.14051,0.66816,1.11973,0.62264,0.52503,0.52622,0.35711,1.08425,0.60466,1.09959,0.00120491,0.00120491,0.00120491
30,666.734,1.16389,0.66945,1.10814,0.70918,0.52382,0.55363,0.36111,1.09753,0.62111,1.09972,0.0011884,0.0011884,0.0011884
31,685.644,1.13698,0.64322,1.09389,0.72492,0.54554,0.56999,0.37568,1.04244,0.60317,1.06803,0.0011719,0.0011719,0.0011719
32,709.538,1.12298,0.64263,1.08114,0.68949,0.5573,0.57124,0.37855,1.02875,0.56529,1.05597,0.0011554,0.0011554,0.0011554
33,734.124,1.06631,0.62031,1.07989,0.73799,0.54767,0.57159,0.37448,1.03332,0.58184,1.06511,0.00113889,0.00113889,0.00113889
34,752.728,1.05912,0.61822,1.04919,0.72517,0.56313,0.58702,0.40105,0.93387,0.54514,1.03238,0.00112239,0.00112239,0.00112239
35,777.463,1.08057,0.60666,1.06356,0.69391,0.56809,0.56932,0.37567,1.03561,0.55589,1.0648,0.00110589,0.00110589,0.00110589
36,795.846,1.08298,0.61608,1.0677,0.72005,0.57047,0.59248,0.39368,0.98978,0.54855,1.04963,0.00108938,0.00108938,0.00108938
37,814.402,1.04484,0.62063,1.05878,0.73269,0.58528,0.59323,0.40008,0.96185,0.53665,1.03496,0.00107288,0.00107288,0.00107288
38,832.78,1.04318,0.58119,1.04992,0.72573,0.5953,0.61148,0.40768,0.94892,0.53043,1.02803,0.00105638,0.00105638,0.00105638
39,857.158,1.02587,0.57622,1.03135,0.71958,0.58496,0.60296,0.4021,0.95289,0.52664,1.01845,0.00103987,0.00103987,0.00103987
40,875.782,1.03557,0.58026,1.03982,0.73306,0.60348,0.62079,0.40891,0.95439,0.52769,1.01873,0.00102337,0.00102337,0.00102337
41,900.411,1.04463,0.57447,1.02295,0.70884,0.59297,0.60326,0.40773,0.94676,0.52644,1.00407,0.00100687,0.00100687,0.00100687
42,918.815,1.05368,0.58258,1.03667,0.72993,0.60344,0.61684,0.40666,0.98033,0.54594,1.0247,0.000990365,0.000990365,0.000990365
43,937.421,1.04418,0.58001,1.02587,0.7265,0.6004,0.62485,0.40818,0.97779,0.5387,1.02118,0.000973861,0.000973861,0.000973861
44,956.007,0.9834,0.55564,1.02696,0.7098,0.61651,0.62703,0.4148,0.91993,0.50287,1.00188,0.000957358,0.000957358,0.000957358
45,980.049,0.98404,0.5593,1.02795,0.74246,0.64511,0.65014,0.41912,0.91599,0.51359,0.99982,0.000940855,0.000940855,0.000940855
